Id,Estado,Anio,DIA_ING_MU_20_59,DIA_ING_MU_60_MAS,DIA_ING_HO_20_59,DIA_ING_HO_60_MAS,DIA_TRA_MU_20_59,DIA_TRA_MU_60_MAS,DIA_TRA_HO_20_59,DIA_TRA_HO_60_MAS,DIA_CON_MU_20_59,DIA_CON_MU_60_MAS,DIA_CON_HO_20_59,DIA_CON_MU_60_MAS,OBE_ING_MU_20_59,OBE_ING_MU_60_MAS,OBE_ING_HO_20_59,OBE_ING_HO_60_MAS,OBE_TRA_MU_20_59,OBE_TRA_MU_60_MAS,OBE_TRA_HO_20_59,OBE_TRA_HO_60_MAS,OBE_CON_MU_20_59,OBE_CON_MU_60_MAS,OBE_CON_HO_20_59,OBE_CON_MU_60_MAS
6,Chihuahua,2014,1427,564,908,475,99308,56669,49155,35068,42754,27363,20525,16103,2060,483,738,483,111532,39739,32504,39739,31462,11698,9114,5308
7,Ciudad De Mexico,2014,4501,2213,4125,1752,252976,155858,135810,79470,95615,68973,52062,34449,4594,872,1621,872,201473,69413,69490,69413,42351,19629,17424,7240
8,Coahuila,2014,395,184,160,86,21423,12774,7219,6145,6914,4576,2529,2470,570,171,218,171,19216,8369,4619,8369,4580,2121,1103,879
9,Colima,2014,380,130,213,79,25843,17552,13273,10959,9768,7984,4811,4770,372,110,153,110,20927,11892,7826,11892,6914,4578,2612,2483
10,Durango,2014,354,133,219,120,37405,21110,17723,13983,16996,10440,7797,6579,820,153,248,153,50289,16607,14374,16607,16412,5939,5177,2634
11,Guanajuato,2014,2467,908,1456,653,191562,116912,96018,70063,117055,78692,57103,45317,1993,563,785,563,171214,83514,51378,83514,105437,55097,30886,21918
12,Guerrero,2014,3018,1005,1409,677,240872,132416,96690,62718,91319,56355,37599,25045,4507,702,1257,702,191047,53563,55973,53563,48710,15911,13493,5989
13,Hidalgo,2014,1531,877,734,490,105676,77595,40607,32466,37708,33830,14739,14541,1822,380,584,380,81219,40230,20514,40230,21806,12300,4829,3913
14,Jalisco,2014,2318,1002,1424,792,156177,107953,81779,70294,65138,49140,32263,29903,2328,830,815,830,134703,62877,43618,62877,42749,22480,13845,9200
15,Mexico,2014,8898,4706,5230,3010,475591,269467,239401,139336,170374,104291,77094,51641,6170,1235,2359,1235,260600,78538,87310,78538,59329,21630,23114,7721
16,Michoacan,2014,1763,709,930,519,103000,62288,41803,34025,33664,24654,14705,12431,2014,354,681,354,85203,30821,27620,30821,17403,7446,5480,2945
17,Morelos,2014,1567,525,828,371,95245,49866,45459,28602,34397,21325,16614,12119,1072,140,445,140,38397,12921,12247,12921,8953,3511,2708,1489
18,Nayarit,2014,473,164,281,136,35292,24304,15977,15071,11699,8965,5410,5354,680,194,280,194,27493,12213,8917,12213,5902,2580,1982,1398
19,Nuevo Leon,2014,1643,429,878,319,121827,67072,55573,34828,74131,41329,32595,20484,2247,408,940,408,79104,29388,28375,29388,44927,15819,15089,6200
20,Oaxaca,2014,2107,748,1097,447,185125,98282,79958,46050,67055,40132,27875,18678,1764,311,617,311,101767,24867,29652,24867,14740,4438,4247,1616
21,Puebla,2014,3120,1188,1532,731,244490,153444,100817,66712,118938,78854,51269,34596,3354,973,1229,973,142002,54984,49047,54984,41513,15688,15471,5887
22,Queretaro,2014,1095,415,577,230,82695,47046,40972,21769,36060,21366,15155,9215,1043,238,406,238,71961,31359,22523,31359,22692,10605,6734,3985
